"state","2008","2009","2010","2011","2012","2013","2014","2017","2018","2019","2020","2021","2022","2023","2024","2015","2016","2005","2006","2007","2004","2002","2003"
"AR",18.1,19.5,19.5,18.8,9.3,29.8,18.4,20.2,20.7,15.3,17.3,20.1,20.5,18.5,4.6,NA,NA,NA,NA,NA,NA,NA,NA
"CA",NA,25.7,17.6,19.1,16.6,22.7,15.1,19.1,13.4,18.4,20.6,20.7,15.5,NA,NA,20.2,14.9,NA,NA,NA,NA,NA,NA
"CT",10.7,15.9,22.3,19.6,25.5,19.7,23.9,13.5,10.3,16,12.7,15.5,14.8,12.2,NA,17.3,16.4,NA,NA,NA,NA,NA,NA
"GA",NA,NA,18.8,18.6,16.1,20.9,22.4,18.3,15.8,22,10.8,14.4,16,21.1,NA,18.5,15.9,NA,NA,NA,NA,NA,NA
"IA",14.7,19.5,20.4,20.1,11,18.9,16.9,13.2,19.8,17.9,13.4,NA,NA,NA,19.1,16.7,17.7,16.4,17.9,16.9,NA,NA,NA
"IL",16.5,15.5,15.2,16.4,19.7,17.5,25.2,NA,12.8,16.4,0,23.6,16.6,16.4,NA,NA,NA,21.5,20.3,23.2,21.4,NA,NA
"IN",NA,NA,NA,NA,NA,NA,NA,4.4,32.6,2.6,28.3,12.6,21.3,27.8,22.6,15.5,20,NA,NA,NA,NA,NA,NA
"KS",NA,NA,14,23.5,15.6,35.6,18.6,18.9,16.7,NA,NA,NA,23.4,23.1,15.4,22.7,25.2,NA,NA,NA,NA,NA,NA
"MI",NA,NA,NA,NA,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6,NA,NA,NA,NA,NA,NA,NA
"MO",20.6,27.5,16.5,20,19.4,14.9,19,16.7,16.4,14,14.6,16,16.2,21,20.6,16,15.9,19.2,21.2,19.1,16.5,NA,NA
"NE",22.1,14.8,18.3,17.6,16,13.5,11.2,14.9,14.1,13.9,17.4,15.6,16,15.5,12.3,18,13.9,12.8,15.2,28.6,22.2,11.5,16.7
"NJ",NA,NA,NA,NA,19.7,5.3,38.7,12.1,NA,NA,21.6,20.5,21.8,19.2,20.4,21.5,19.6,NA,NA,NA,NA,NA,NA
"NY",NA,NA,NA,20.5,17.3,20.4,18.5,2.2,13.1,23.4,25,17.7,12.8,21.2,14.3,19.6,16.3,NA,NA,NA,NA,NA,NA
"OH",NA,15.1,17.8,19.1,26.4,14.8,20.6,11.8,12,10.9,12,16.1,12.9,13.8,NA,12.7,13.8,NA,NA,NA,NA,NA,NA
"OK",NA,NA,NA,NA,NA,26,16.5,12.2,18.6,12.7,1.1,0,27.5,18,19.4,12.1,16.1,NA,NA,NA,NA,NA,NA
"OR",NA,NA,NA,NA,NA,16.8,21.4,15.3,18.9,NA,NA,30.1,17.3,14.3,NA,18.4,15.3,NA,NA,NA,NA,NA,NA
"PA",NA,19.1,21.7,16,19.2,19.2,19.3,16.8,15.7,12.1,13.5,15,19.3,13.9,14.9,16.5,19.8,NA,NA,NA,NA,NA,NA
"TX",20.4,19.1,16.5,26.5,17.9,18.8,18.7,16.7,19.4,22.3,11.7,15.6,19,20.1,18.7,18.3,18.2,NA,NA,20.2,NA,NA,NA
"VA",NA,NA,NA,11.9,12.8,27.3,20.9,10.6,19.8,16,6.9,3.1,23.8,6.6,20.3,25.2,22.3,NA,NA,NA,NA,NA,NA
"WI",NA,12.9,14.8,17.6,14,19.8,10.5,14.2,11.5,18.5,14.3,14.4,22,15.5,17.4,17.1,12.3,NA,NA,NA,NA,NA,NA
"OVERALL",18.5,19.2,17.4,19.9,18.2,19.1,20,13.9,16.4,16.5,14.1,16.6,18.3,18.3,17.5,18,17,18.8,19.4,21.1,20.1,11.5,16.7
